id,imdb_genres
641,"Drama,Sci-Fi,War"
643,"Drama,Sport"
645,"Comedy,Fantasy,Horror"
647,"Comedy,Horror,Sci-Fi"
648,"Comedy,Romance"
650,"Comedy,Romance"
651,"Comedy,Fantasy,Horror"
653,"Comedy,Fantasy,Romance"
655,Drama
660,Drama
661,"Biography,Drama"
662,"Comedy,Drama"
665,"Drama,Music"
666,Drama
667,"Crime,Drama,Mystery"
669,"Comedy,Crime,Drama"
672,"Comedy,Drama"
674,"Adventure,Drama,Western"
676,"Action,Sci-Fi"
679,"Biography,Drama,History"
681,"Drama,Thriller"
683,"Comedy,Drama,Romance"
684,Drama
685,"Crime,Drama,Mystery"
686,"Comedy,Drama,Romance"
687,"Comedy,Drama"
688,"Comedy,Drama"
689,"Drama,Family,Fantasy"
690,"Biography,Drama"
691,"Adventure,Drama,Western"
692,"Biography,Drama"
694,"Crime,Drama"
696,"Biography,Crime,Drama"
697,"Drama,Romance"
698,"Drama,Western"
701,"Biography,Crime,Drama"
703,"Drama,Music,Romance"
705,"Adventure,Drama,Sci-Fi"
706,"Adult,Comedy"
707,"Adventure,Comedy,Sci-Fi"
715,"Comedy,Drama,Romance"
717,"Comedy,Drama,Romance"
718,"Comedy,Drama"
719,"Drama,Romance"
722,"Comedy,Drama,Romance"
725,"Comedy,Drama,Mystery"
726,"Drama,Musical,Romance"
733,"Comedy,Music,Romance"
736,"Musical,Romance"
739,"Adventure,Comedy,Family"
740,"Biography,Drama,History"
741,"Action,Adventure,Sci-Fi"
742,"Comedy,Romance"
745,"Adventure,Family,Sci-Fi"
748,"Comedy,Drama,Family"
749,"Comedy,Crime,Mystery"
750,"Comedy,Crime,Mystery"
751,"Crime,Drama,Romance"
753,"Comedy,Drama,Romance"
754,"Drama,Mystery"
755,"Comedy,Crime,Musical"
756,"Comedy,Crime,Film-Noir"
757,"Comedy,Drama,History"
758,"Action,Adventure,Fantasy"
759,"Drama,Musical,Romance"
761,"Crime,Drama,Film-Noir"
763,"Drama,Romance"
766,"Drama,Horror,Sci-Fi"
768,"Drama,Sci-Fi"
769,"Adventure,Family,Fantasy"
770,"Crime,Drama,Film-Noir"
773,"Adventure,Animation,Family"
775,"Comedy,Music"
776,"Drama,Sport"
777,"Comedy,Music,Romance"
778,"Biography,Drama,Music"
779,"Biography,Drama,Music"
782,"Adventure,Fantasy,Sci-Fi"
783,"Action,Adventure,Comedy"
784,"Adventure,Comedy"
785,"Adventure,Comedy,Romance"
787,"Action,Adventure,Sci-Fi"
788,"Drama,Sport"
790,"Action,Thriller,War"
791,"Drama,Sport"
794,"Drama,War"
795,"Action,Drama,Romance"
801,"Adventure,Animation,Comedy"
804,"Crime,Drama"
807,"Drama,Romance,War"
808,"Biography,Drama,History"
809,"Drama,Romance"
810,"Comedy,Crime"
811,"Comedy,Drama,War"
812,"Action,Adventure,Thriller"
813,"Comedy,Romance"
814,"Action,Adventure,Sci-Fi"
815,"Adventure,Comedy,Fantasy"
816,"Drama,Mystery,Romance"
817,"Action,Adventure,Sci-Fi"
819,"Action,Adventure,Biography"
820,"Comedy,Crime"
821,"Comedy,Drama,Romance"
823,"Action,Crime,Drama"
824,"Action,Comedy,Crime"
826,"Action,Adventure,Sci-Fi"
829,"Crime,Drama,Romance"
830,"Crime,Drama,Mystery"
832,Drama
834,Drama
837,"Comedy,Drama,Romance"
838,"Drama,Sport"
840,"Comedy,Western"
841,"Crime,Drama"
844,Drama
845,"Comedy,Drama"
847,"Action,Comedy,Horror"
849,"Comedy,Documentary"
854,Drama
855,"Drama,Romance"
856,"Comedy,Drama"
857,"Biography,Crime,Drama"
858,"Adventure,Comedy,Drama"
859,"Drama,War"
860,"Action,Animation,Drama"
861,"Comedy,Drama,War"
862,Drama
864,"Biography,Crime,Drama"
866,"Biography,Drama,Music"
867,"Drama,Thriller"
868,"Comedy,Drama"
870,Drama
871,"Action,Comedy,Drama"
873,"Drama,Romance,Thriller"
874,"Adventure,Comedy,Fantasy"
878,"Comedy,Romance"
882,Western
884,"Comedy,Drama"
885,Documentary
891,"Action,Comedy,Crime"
892,"Action,Adventure,Thriller"
895,"Comedy,Drama,Mystery"
897,"Drama,Romance"
898,"Crime,Drama,Mystery"
899,"Comedy,Family,Fantasy"
900,"Comedy,Drama"
901,"Comedy,Drama,Romance"
903,"Comedy,Drama,Romance"
905,"Drama,Sport"
910,"Biography,Comedy,Drama"
911,"Drama,Music,Romance"
913,"Comedy,Crime"
914,"Drama,Music"
916,"Drama,Fantasy,History"
917,"Documentary,History"
922,"Comedy,Drama,Fantasy"
924,Drama
926,"Biography,Drama,Mystery"
930,"Comedy,Drama,Fantasy"
933,"Biography,Comedy,Drama"
935,"Drama,Music"
937,"Adventure,Animation,Comedy"
938,Drama
939,"Biography,Drama"
940,Drama
941,Drama
944,"Crime,Drama"
946,"Comedy,Drama,Music"
949,"Crime,Drama,Thriller"
951,Drama
952,"Action,Adventure,Comedy"
953,Drama
957,Drama
960,"Drama,History,Romance"
961,"Action,Adventure,Drama"
962,"Adventure,Animation,Drama"
964,"Action,Adventure,Comedy"
965,"Drama,War"
966,"Horror,Mystery,Thriller"
968,"Adventure,Drama,Fantasy"
969,"Adventure,Drama,Fantasy"
970,"Adventure,Drama,Fantasy"
971,"Comedy,Musical,War"
973,"Drama,Romance"
974,"Documentary,Drama"
975,"Crime,Thriller"
977,"Comedy,Romance"
978,"Drama,Fantasy"
980,"Drama,Family"
984,"Drama,Romance"
985,"Comedy,Drama"
986,"Crime,Drama,Romance"
989,Drama
993,Comedy
996,"Adventure,Animation,Comedy"
997,"Action,Drama"
998,"Action,Drama,Thriller"
1001,"Comedy,Mystery,Romance"
1002,"Drama,Romance"
1003,Drama
1005,"Comedy,Romance"
1006,"Drama,Romance"
1008,"Drama,Romance"
1009,"Drama,Romance"
1010,"Drama,Romance"
1012,"Drama,Film-Noir,Romance"
1015,"Comedy,Western"
1016,"Animation,Drama,War"
1017,Drama
1018,"Comedy,Musical,Romance"
1019,"Comedy,Drama,Music"
1021,Drama
1025,"Biography,Drama"
1028,"Comedy,Crime,Drama"
1030,"Drama,Film-Noir,Mystery"
1032,"Drama,Romance"
1033,"Comedy,Drama"
1036,"Biography,Documentary"
1038,"Comedy,Documentary"
1039,"Horror,Mystery"
1045,"Film-Noir,Thriller"
1048,"Crime,Drama,Mystery"
1051,"Adventure,Drama,Romance"
1053,"Comedy,Drama"
1054,"Crime,Drama"
1055,"Crime,Drama,Thriller"
1059,"Biography,Drama,Music"
1061,"Biography,Drama,Music"
1063,"Comedy,Drama"
1065,Comedy
1067,"Drama,Mystery,Thriller"
1068,"Drama,Mystery"
1069,"Adventure,Drama,War"
1070,"Biography,Crime,Drama"
1071,"Comedy,Romance"
1072,"Drama,Romance"
1073,"Biography,Drama"
1074,"Comedy,Drama,Romance"
1075,"Drama,War"
1076,"Action,Adventure,Comedy"
1079,Drama
1080,Drama
1084,"Adventure,Animation,Comedy"
1087,"Comedy,Romance,Sci-Fi"
1090,"Adventure,Animation,Comedy"
1092,Comedy
1093,"Comedy,Drama"
1094,"Crime,Drama"
1095,"Drama,Romance"
1096,"Adventure,Comedy,Family"
1102,"Action,Fantasy,Horror"
1104,"Action,Comedy,Fantasy"
1106,"Comedy,Musical"
1107,"Drama,Romance"
1109,"Adventure,Animation,Comedy"
1110,"Action,Adventure,Sci-Fi"
1113,"Crime,Drama,Film-Noir"
1114,"Drama,Romance"
1116,"Comedy,Crime"
1117,"Action,Adventure,Sci-Fi"
1118,"Drama,Romance"
1119,"Comedy,Romance"
1120,"Comedy,Drama,Romance"
1121,Drama
1122,"Comedy,Drama,Romance"
1127,"Action,Sci-Fi"
1128,"Biography,Drama,Romance"
1129,"Comedy,Romance"
1131,"Comedy,Drama,Romance"
1133,"Action,Adventure,Comedy"
1135,"Adventure,Animation,Comedy"
1136,"Drama,Horror"
1137,"Action,Horror,Sci-Fi"
1139,"Adventure,Comedy,Sci-Fi"
1140,"Adventure,Comedy,Sci-Fi"
1142,"Drama,Romance"
1145,"Comedy,Crime,Drama"
1147,"Action,Comedy,Fantasy"
1148,"Drama,Romance"
1149,"Drama,War"
1151,"Drama,Music,Mystery"
1152,"Comedy,Drama"
1154,"Biography,Crime,Drama"
1155,"Comedy,Family"
1157,Drama
1160,"Comedy,Drama,Romance"
1161,"Adventure,Comedy,Family"
1162,Drama
1164,"Drama,Romance"
1165,"Comedy,Drama"
1167,"Comedy,Drama,Romance"
1168,"Comedy,Sport"
1169,"Drama,Thriller,War"
1170,"Comedy,Family,Romance"
1174,"Comedy,Crime,Drama"
1176,"Action,Drama"
1178,"Drama,Sport"
1179,Comedy
1180,"Comedy,Drama"
1182,"Crime,Mystery,Thriller"
1184,"Comedy,Drama,Fantasy"
1185,"Music,Sci-Fi"
1186,Comedy
1187,Comedy
1189,"Drama,Romance"
1190,"Drama,Romance"
1191,Drama
1192,"Drama,Romance"
1194,"Biography,Drama,History"
1195,"Comedy,Romance"
1196,"Drama,Music"
1197,"Comedy,Drama,Music"
1198,"Action,Sci-Fi"
1200,"Comedy,Drama,Romance"
1204,"Action,Adventure,Family"
1205,"Comedy,Drama,Romance"
1206,Drama
1207,"Action,Crime,Drama"
1208,Drama
1211,"Comedy,Drama,Romance"
1212,"Comedy,Fantasy"
1213,"Action,Drama"
1214,"Comedy,Crime"
1219,"Comedy,Family"
1225,"Drama,Music,Musical"
1226,"Drama,Family,Romance"
1227,"Drama,Musical"
1228,"Comedy,Drama"
1232,"Action,Crime,Sci-Fi"
1234,"Action,Drama,Mystery"
1236,Drama
1237,"Action,Comedy,Drama"
1238,"Action,Crime,Thriller"
1239,"Drama,Mystery,Thriller"
1242,"Comedy,Romance"
1246,"Comedy,Fantasy"
1247,"Adventure,Animation,Comedy"
1252,"Action,Comedy,Crime"
1253,"Drama,Mystery,Romance"
1254,"Comedy,Drama"
1256,"Adventure,Animation,Comedy"
1257,Comedy
1259,Drama
1267,"Comedy,Family"
1271,Comedy
1272,Comedy
1273,"Action,Adventure,Comedy"
1276,"Crime,Thriller"
1277,"Comedy,Music,Romance"
1279,"Drama,Romance"
1281,"Biography,Drama,History"
1282,Drama
1284,"Horror,Mystery,Sci-Fi"
1286,"Action,Comedy,Sci-Fi"
1287,"Animation,Drama,Fantasy"
1289,"Drama,Horror,Mystery"
1290,Horror
1292,"Comedy,Drama,Fantasy"
1293,Adventure
1300,"Drama,Romance,War"
1304,"Comedy,Drama,Romance"
1305,"Adventure,Biography,Drama"
1306,"Drama,Western"
1308,Drama
1314,"Drama,Mystery,Thriller"
1315,"Action,Adventure,Animation"
1316,"Animation,Drama,Fantasy"
1318,"Comedy,Drama,Horror"
1319,Comedy
1320,"Horror,Mystery"
1323,"Adventure,Comedy,Fantasy"
1324,"Action,Adventure,Comedy"
1326,Comedy
1327,"Action,Adventure,Comedy"
1328,"Crime,Drama,Musical"
1329,"Comedy,Drama,Romance"
1332,Drama
1333,"Adventure,Comedy"
1334,"Action,Adventure,Comedy"
1335,"Action,Adventure,Drama"
1336,Comedy
1338,"Drama,Music,Romance"
1343,"Adventure,Animation,Comedy"
1344,"Action,Drama,Thriller"
1345,Drama
1346,"Action,Adventure,Comedy"
1347,"Biography,Drama,Music"
1349,"Comedy,Crime"
1351,"Action,Adventure,Thriller"
1352,"Sci-Fi,Thriller"
1353,"Adventure,Drama"
1355,"Comedy,Drama"
1356,"Comedy,Family,Sport"
1359,"Drama,Romance"
1360,"Comedy,Drama,Romance"
1362,"Crime,Drama,Thriller"
1364,"Adventure,Mystery,Sci-Fi"
1365,"Comedy,Drama,Romance"
1366,"Comedy,Romance"
1367,"Comedy,Romance"
1369,"Crime,Mystery,Romance"
1371,Comedy
1373,"Action,Comedy,Sci-Fi"
1375,"Comedy,Crime"
1377,"Adventure,Animation,Comedy"
1379,"Adventure,Animation,Comedy"
1380,"Comedy,Crime,Drama"
1381,"Drama,Western"
1382,"Action,Adventure,Comedy"
1384,Comedy
1385,"Comedy,Crime,Drama"
1389,"Adventure,Animation,Comedy"
1392,"Comedy,Drama"
1393,"Adventure,Comedy,Family"
1396,"Crime,Drama,Romance"
1397,"Crime,Drama,Mystery"
1399,"Comedy,Music,Musical"
1400,"Action,Crime,Thriller"
1402,"Adventure,Animation,Comedy"
1404,"Comedy,Drama,Romance"
1406,"Crime,Drama"
1409,"Comedy,Crime,Romance"
1410,"Comedy,Fantasy"
1413,"Comedy,Crime,Thriller"
1414,"Adventure,Comedy,Crime"
1415,"Action,Comedy,Fantasy"
1416,"Biography,Drama,Music"
1418,"Horror,Mystery,Sci-Fi"
1423,"Crime,Thriller"
1424,"Drama,Thriller"
1425,"Animation,Crime,Drama"
1429,"Adventure,Comedy,Romance"
1430,"Crime,Drama,Thriller"
1434,"Action,Crime,Thriller"
1436,"Comedy,Music,Musical"
1438,"Drama,Fantasy,Romance"
1439,Comedy
1440,"Comedy,Drama"
1441,"Action,Sci-Fi"
1443,"Comedy,Drama,Romance"
1447,"Action,Animation,Drama"
1448,Comedy
1451,"Adventure,Animation,Family"
1452,"Drama,Romance,Sport"
1454,"Comedy,Crime,Family"
1458,Horror
1459,"Horror,Mystery,Sci-Fi"
1462,"Comedy,Crime"
1464,"Action,Adventure,War"
1466,"Adventure,Animation,Music"
1469,"Action,Adventure,Animation"
1472,"Action,Drama,Thriller"
1473,"Action,Adventure,Sci-Fi"
1477,"Comedy,Drama,Music"
1478,"Action,Crime,Drama"
1479,"Crime,Drama,Film-Noir"
1480,"Comedy,Romance,Sport"
1483,"Action,Adventure,Thriller"
1484,Drama
1485,"Comedy,Drama,Fantasy"
1488,"Crime,Drama,Mystery"
1489,Drama
1491,"Comedy,Drama,Thriller"
1492,"Comedy,Crime,Drama"
1495,"Comedy,Crime"
1496,"Action,Adventure,Fantasy"
1498,"Comedy,Crime"
1499,"Comedy,Horror"
1500,"Comedy,Drama"
1501,"Action,Crime,Thriller"
1502,"Comedy,Drama"
1504,"Biography,Drama,History"
1505,"Crime,Drama,Romance"
1507,"Drama,History"
1508,"Drama,Mystery,Romance"
1509,"Adventure,Comedy"
1511,"Comedy,Family"
1515,"Drama,Horror,Sci-Fi"
1516,"Adventure,Animation,Comedy"
1517,"Adventure,Animation,Comedy"
1518,Comedy
1522,"Action,Adventure,Sci-Fi"
1523,"Adventure,Animation,Comedy"
1525,"Action,Drama,Sci-Fi"
1526,"Action,Drama,Horror"
1528,"Comedy,Sport"
1529,Comedy
1531,"Action,Horror,Sci-Fi"
1533,"Crime,Drama,Thriller"
1535,"Comedy,Drama"
1536,"Adventure,Animation,Comedy"
1537,"Drama,Fantasy,Horror"
1540,"Action,Adventure,Drama"
1541,"Animation,Drama,Mystery"
1542,"Crime,Drama,Thriller"
1543,"Comedy,Drama,Fantasy"
1544,Horror
1546,"Adventure,Family,Fantasy"
1547,"Drama,Thriller"
1548,"Adventure,Comedy,Family"
1549,"Comedy,Drama,Family"
1552,"Animation,Comedy,Family"
1554,"Comedy,Drama,Romance"
1555,"Biography,Drama,War"
1556,"Comedy,Drama,Fantasy"
1557,"Action,Adventure,Comedy"
1560,"Horror,Sci-Fi,Thriller"
1561,"Comedy,Drama,Romance"
1562,"Comedy,Crime"
1563,"Documentary,Drama,Sport"
1564,"Comedy,Western"
1565,"Adventure,Horror,Thriller"
1570,"Adventure,Animation,Comedy"
1572,"Action,Adventure,Thriller"
1574,"Adventure,Animation,Comedy"
1575,Comedy
1578,"Comedy,Family,Musical"
1583,"Adventure,Drama,Sci-Fi"
1584,"Adventure,Drama,Sci-Fi"
1585,"Crime,Drama,Mystery"
1586,"Biography,Comedy,Drama"
1587,"Drama,Romance,Sport"
1588,"Comedy,Family"
1589,"Comedy,Drama,Music"
1590,"Comedy,Romance"
1592,"Comedy,Drama"
1593,"Biography,Drama"
1594,"Action,Animation,Crime"
1595,"Comedy,Family,Fantasy"
1599,Comedy
1600,"Action,Adventure,Comedy"
1602,Drama
1604,"Comedy,Drama,Fantasy"
1605,"Action,Adventure,Animation"
1606,"Animation,Comedy,Drama"
1609,"Adventure,Comedy,Family"
1610,"Comedy,Drama,Romance"
1611,Drama
1612,Drama
1613,"Action,Adventure,Drama"
1614,"Adventure,Comedy,Drama"
1616,"Comedy,Drama,Romance"
1617,"Action,Drama,War"
1621,"Horror,Sci-Fi,Thriller"
1624,"Comedy,Drama,History"
1626,"Comedy,Romance,Sport"
1627,"Adventure,Drama,Western"
1629,"Comedy,Fantasy,Horror"
1630,"Adult,Drama"
1631,"Adult,Drama,Fantasy"
1632,"Crime,Drama"
1634,Drama
1635,"Drama,Thriller"
1636,Musical
1637,Drama
1643,"Adventure,Comedy,Drama"
1646,"Drama,Sci-Fi"
