id,rating,votes
871,6.9,11687.0
873,6.9,16617.0
874,7.1,59958.0
878,7.2,10414.0
882,6.2,282.0
884,7.4,43397.0
885,6.8,603.0
891,6.8,49775.0
892,6.4,221136.0
895,7.3,7288.0
897,6.6,21068.0
898,8.5,1241795.0
899,5.5,24570.0
900,7.3,11300.0
901,6.8,1465.0
903,7.0,7948.0
905,7.0,101705.0
910,7.3,165986.0
911,6.2,64498.0
913,6.0,9707.0
914,7.7,152685.0
916,7.2,23041.0
917,7.6,4868.0
922,7.2,90523.0
924,7.7,12705.0
926,7.1,21588.0
930,7.5,96990.0
933,7.2,20108.0
935,7.4,44265.0
937,7.7,117247.0
938,8.0,104169.0
939,7.3,106105.0
940,7.2,16029.0
941,7.0,7975.0
944,8.5,1276393.0
946,7.2,37016.0
949,7.8,519271.0
951,7.6,162647.0
952,6.3,110591.0
953,5.5,263.0
957,6.9,127.0
960,6.1,1048.0
961,6.8,27360.0
962,7.2,150703.0
964,4.5,35981.0
965,7.1,22918.0
966,8.0,76389.0
968,8.9,2213166.0
969,8.8,1963086.0
970,9.0,2170984.0
971,7.0,3519.0
973,5.4,385.0
974,7.1,2527.0
975,7.3,38847.0
977,5.9,42244.0
978,8.1,215711.0
980,7.5,44384.0
984,8.0,10281.0
985,6.7,2121.0
986,6.6,1303.0
989,6.4,448.0
993,7.1,68908.0
996,7.3,197268.0
997,7.0,555538.0
998,8.0,43340.0
1001,7.1,3268.0
1002,6.2,255.0
1003,7.0,500.0
1005,7.7,15983.0
1006,7.8,20859.0
1008,7.5,7309.0
1009,7.0,2104.0
1010,7.3,2765.0
1012,7.6,16787.0
1015,7.4,28382.0
1016,8.5,388385.0
1017,7.6,22067.0
1018,5.5,26136.0
1019,7.3,35795.0
1021,6.6,8634.0
1025,7.2,1370.0
1028,6.3,1903.0
1030,7.3,14268.0
1032,6.5,1612.0
1033,7.1,1811.0
1036,7.7,431.0
1038,7.2,2707.0
1039,7.5,146610.0
1045,7.5,8872.0
1048,8.1,197121.0
1051,6.6,10007.0
1053,6.5,7366.0
1054,7.5,507041.0
1055,6.6,98806.0
1059,7.2,2755.0
1061,6.7,1369.0
1063,7.3,8948.0
1065,5.3,699.0
1067,7.1,24848.0
1068,7.2,9672.0
1069,7.3,10355.0
1070,7.5,8294.0
1071,7.4,21069.0
1072,6.3,7992.0
1073,6.8,1633.0
1074,7.3,6640.0
1075,7.7,13819.0
1076,6.2,117833.0
1079,7.3,275029.0
1080,7.7,141967.0
1084,8.1,1078450.0
1087,6.4,29633.0
1090,6.9,75526.0
1092,6.4,58213.0
1093,7.9,33447.0
1094,8.0,134834.0
1095,6.7,261607.0
1096,5.6,43635.0
1102,7.3,12704.0
1104,7.8,487472.0
