film,filmLabel,book,bookLabel
http://www.wikidata.org/entity/Q625780,The Red Shoes,http://www.wikidata.org/entity/Q2293255,The Red Shoes
http://www.wikidata.org/entity/Q1305759,"Staraya, staraya skazka",http://www.wikidata.org/entity/Q4927270,Blockhead Hans
http://www.wikidata.org/entity/Q2778500,The Red Shoes,http://www.wikidata.org/entity/Q2293255,The Red Shoes
http://www.wikidata.org/entity/Q7585767,Sreća dolazi u 9,http://www.wikidata.org/entity/Q7735653,The Galoshes of Fortune
http://www.wikidata.org/entity/Q7766820,The Story of a Mother,http://www.wikidata.org/entity/Q3496170,The Story of a Mother
http://www.wikidata.org/entity/Q17082167,The Story of a Mother,http://www.wikidata.org/entity/Q3496170,The Story of a Mother
http://www.wikidata.org/entity/Q136412875,North,http://www.wikidata.org/entity/Q11880,The Snow Queen
http://www.wikidata.org/entity/Q2201,Kick-Ass,http://www.wikidata.org/entity/Q2515,Kick-Ass
http://www.wikidata.org/entity/Q41132,Barbarella,http://www.wikidata.org/entity/Q91926,Barbarella
http://www.wikidata.org/entity/Q339467,The Snow Queen,http://www.wikidata.org/entity/Q11880,The Snow Queen
http://www.wikidata.org/entity/Q380349,The Extraordinary Adventures of Adèle Blanc-Sec,http://www.wikidata.org/entity/Q354566,The Extraordinary Adventures of Adèle Blanc-Sec
http://www.wikidata.org/entity/Q400332,300: Rise of an Empire,http://www.wikidata.org/entity/Q64683214,Xerxes
http://www.wikidata.org/entity/Q567577,The League of Extraordinary Gentlemen,http://www.wikidata.org/entity/Q95029,The League of Extraordinary Gentlemen
http://www.wikidata.org/entity/Q747919,Asterix and Obelix: God Save Britannia,http://www.wikidata.org/entity/Q42490,Asterix
http://www.wikidata.org/entity/Q935893,The Snow Queen,http://www.wikidata.org/entity/Q11880,The Snow Queen
http://www.wikidata.org/entity/Q1091350,Blueberry,http://www.wikidata.org/entity/Q137308,Blueberry
http://www.wikidata.org/entity/Q1268749,Dylan Dog: Dead of Night,http://www.wikidata.org/entity/Q12098,Dylan Dog
http://www.wikidata.org/entity/Q2057648,Titeuf,http://www.wikidata.org/entity/Q174874,Titeuf
http://www.wikidata.org/entity/Q2921729,Billy & Buddy,http://www.wikidata.org/entity/Q59991,Boule et Bill
http://www.wikidata.org/entity/Q4425511,The Snow Queen,http://www.wikidata.org/entity/Q11880,The Snow Queen
http://www.wikidata.org/entity/Q4449925,The Secret of the Snow Queen,http://www.wikidata.org/entity/Q11880,The Snow Queen
http://www.wikidata.org/entity/Q6062676,Çifte Tabancalı Damat,http://www.wikidata.org/entity/Q137475,Lucky Luke
http://www.wikidata.org/entity/Q6103094,Atini Seven Kovboy,http://www.wikidata.org/entity/Q137475,Lucky Luke
http://www.wikidata.org/entity/Q7765029,The Snow Queen,http://www.wikidata.org/entity/Q11880,The Snow Queen
http://www.wikidata.org/entity/Q12369119,The Snow Queen,http://www.wikidata.org/entity/Q11880,The Snow Queen
http://www.wikidata.org/entity/Q18693366,The Snow Queen,http://www.wikidata.org/entity/Q11880,The Snow Queen
http://www.wikidata.org/entity/Q20926273,Valérian and the City of a Thousand Planets,http://www.wikidata.org/entity/Q658568,Valérian and Laureline
http://www.wikidata.org/entity/Q33569030,The Snow Queen,http://www.wikidata.org/entity/Q11880,The Snow Queen
http://www.wikidata.org/entity/Q58814616,Extraction,http://www.wikidata.org/entity/Q93733338,Ciudad
http://www.wikidata.org/entity/Q99688807,Old,http://www.wikidata.org/entity/Q108339209,Sandcastle
http://www.wikidata.org/entity/Q105759872,Slumberland,http://www.wikidata.org/entity/Q113531,Little Nemo
http://www.wikidata.org/entity/Q107454572,La terra dei figli,http://www.wikidata.org/entity/Q65560155,Land of the Sons
http://www.wikidata.org/entity/Q109312544,Lucky Luke,http://www.wikidata.org/entity/Q137475,Lucky Luke
http://www.wikidata.org/entity/Q125960257,Q125960257,http://www.wikidata.org/entity/Q59667,Natacha
http://www.wikidata.org/entity/Q219421,The Mask,http://www.wikidata.org/entity/Q1811866,The Mask
http://www.wikidata.org/entity/Q459398,Son of the Mask,http://www.wikidata.org/entity/Q1811866,The Mask
http://www.wikidata.org/entity/Q753899,Scott Pilgrim vs. the World,http://www.wikidata.org/entity/Q1199291,Scott Pilgrim
http://www.wikidata.org/entity/Q1748143,Michel Vaillant,http://www.wikidata.org/entity/Q1503314,Michel Vaillant
http://www.wikidata.org/entity/Q3282841,Li'l Abner,http://www.wikidata.org/entity/Q1866715,Li'l Abner
http://www.wikidata.org/entity/Q6538593,Li'l Abner,http://www.wikidata.org/entity/Q1866715,Li'l Abner
http://www.wikidata.org/entity/Q16661269,Lou ! Journal infime,http://www.wikidata.org/entity/Q1856044,Lou!
http://www.wikidata.org/entity/Q28497242,The Little Spirou,http://www.wikidata.org/entity/Q1199290,Le Petit Spirou
http://www.wikidata.org/entity/Q131390,300,http://www.wikidata.org/entity/Q29233,300
http://www.wikidata.org/entity/Q466961,American Splendor,http://www.wikidata.org/entity/Q7110580,Our Cancer Year
http://www.wikidata.org/entity/Q725578,Cowboys & Aliens,http://www.wikidata.org/entity/Q92182,Cowboys & Aliens
http://www.wikidata.org/entity/Q939997,Tatsumi,http://www.wikidata.org/entity/Q4033131,A Drifting Life
http://www.wikidata.org/entity/Q5510723,Future Memories: Last Christmas,http://www.wikidata.org/entity/Q135509929,Future Memories
http://www.wikidata.org/entity/Q9030248,Maria and I,http://www.wikidata.org/entity/Q16601597,Q16601597
http://www.wikidata.org/entity/Q11648811,Blue Is the Warmest Colour,http://www.wikidata.org/entity/Q3228373,Blue Is the Warmest Color
http://www.wikidata.org/entity/Q43259958,Alena,http://www.wikidata.org/entity/Q48796153,Alena
http://www.wikidata.org/entity/Q51955042,Polar,http://www.wikidata.org/entity/Q25222990,Polar
http://www.wikidata.org/entity/Q55766461,La profezia dell'armadillo,http://www.wikidata.org/entity/Q16570698,The Armadillo Prophecy
http://www.wikidata.org/entity/Q56703415,Random Acts of Violence,http://www.wikidata.org/entity/Q7291917,Random Acts of Violence
http://www.wikidata.org/entity/Q97354537,Back from Hell,http://www.wikidata.org/entity/Q116374308,Faust legend
http://www.wikidata.org/entity/Q116073076,Cet été-là,http://www.wikidata.org/entity/Q21511960,This One Summer
http://www.wikidata.org/entity/Q116301522,Shortcomings,http://www.wikidata.org/entity/Q7502131,Shortcomings
http://www.wikidata.org/entity/Q127727205,Paying for It,http://www.wikidata.org/entity/Q3560151,Paying for It
http://www.wikidata.org/entity/Q900885,Love Vibes,http://www.wikidata.org/entity/Q131450369,Love Vibes
http://www.wikidata.org/entity/Q963196,Kakashi,http://www.wikidata.org/entity/Q116482090,Kakashi
http://www.wikidata.org/entity/Q1101520,Salaryman Kintarō,http://www.wikidata.org/entity/Q126325388,Salary Man Kintaro
http://www.wikidata.org/entity/Q2963587,Childhood Days,http://www.wikidata.org/entity/Q113470460,Childhood Days
http://www.wikidata.org/entity/Q3791289,The Seven Cervi Brothers,http://www.wikidata.org/entity/Q124032370,I miei sette figli
http://www.wikidata.org/entity/Q11546925,Love Ghost,http://www.wikidata.org/entity/Q116482023,Lovesick Dead
http://www.wikidata.org/entity/Q48734,Marmaduke,http://www.wikidata.org/entity/Q2511706,Marmaduke
http://www.wikidata.org/entity/Q466961,American Splendor,http://www.wikidata.org/entity/Q2167179,American Splendor
http://www.wikidata.org/entity/Q783486,Dennis the Menace,http://www.wikidata.org/entity/Q3022996,Dennis the Menace
http://www.wikidata.org/entity/Q2452763,Dennis the Menace Strikes Again,http://www.wikidata.org/entity/Q3022996,Dennis the Menace
http://www.wikidata.org/entity/Q3282841,Li'l Abner,http://www.wikidata.org/entity/Q1866715,Li'l Abner
http://www.wikidata.org/entity/Q3892826,Palooka,http://www.wikidata.org/entity/Q3015116,Joe Palooka
http://www.wikidata.org/entity/Q6211686,"Joe Palooka, Champ",http://www.wikidata.org/entity/Q3015116,Joe Palooka
