id,rating,votes,spectacle,spectacle_v
84,7.6,22132.0,1.0387290865535321,0.8144021041150916
85,7.8,151400.0,0.549545560076433,0.8144021041150916
86,8.1,1007822.0,1.2175653768506283,0.8144021041150916
87,7.9,24362.0,0.6503033818246927,0.2742372094213907
89,8.0,680596.0,1.2175653768506283,0.8144021041150916
90,7.2,63451.0,0.8598927962564359,0.8144021041150916
91,8.2,1148207.0,0.8598927962564359,0.8144021041150916
92,9.3,3200296.0,1.1063794269273564,0.5920302042685478
95,5.4,93278.0,-0.27463119379543516,-0.2659276852723102
96,8.0,487178.0,0.9072181406706252,0.8144021041150916
98,6.6,57712.0,1.2175653768506283,0.8144021041150916
99,8.0,108487.0,0.6375208964098921,0.3696583044220041
100,8.6,402720.0,1.2175653768506283,0.8144021041150916
101,7.7,110765.0,0.46409504011669095,0.2742372094213907
102,8.8,892543.0,1.8384825582940632,2.056236467001961
103,6.8,12566.0,0.6503033818246927,0.2742372094213907
106,7.9,84207.0,1.2175653768506283,0.8144021041150916
108,7.7,272801.0,0.18144485130722846,0.051865309574846946
110,7.1,122142.0,0.6503033818246927,0.2742372094213907
111,7.9,8171.0,1.3287513267739002,1.0367740039616353
113,7.2,9403.0,1.0992221194686393,0.8144021041150916
115,8.5,1354613.0,-0.01771643494950258,0.2742372094213907
116,8.8,2504921.0,1.1063794269273564,0.5920302042685478
117,8.2,149616.0,0.5939852868604445,-0.0750854952710834
118,7.2,19205.0,-0.15211299846258716,-0.6152503899647843
121,7.8,131100.0,1.5280239675723457,1.4353192855585262
122,8.1,76447.0,1.6161106584475189,1.6114926673088734
125,6.7,41358.0,0.6503033818246927,0.2742372094213907
126,7.6,54478.0,1.1063794269273564,0.5920302042685478
127,7.9,43341.0,-0.04092704853931526,-0.39287849011824055
128,7.5,105232.0,1.2175653768506283,0.8144021041150916
129,8.1,178962.0,0.3271736602298892,0.3696583044220041
130,7.0,14859.0,-0.08863759603962196,-0.4882995851188539
131,7.4,44463.0,0.07025890138395659,-0.17050659027169682
132,8.1,249166.0,0.7960321907473533,0.5920302042685478
133,6.8,1257.0,0.549545560076433,0.8144021041150916
134,7.7,348239.0,1.0387290865535321,0.8144021041150916
135,8.5,1458284.0,1.2175653768506283,0.8144021041150916
136,6.7,72433.0,0.29263080123050034,0.2742372094213907
139,8.3,220349.0,0.29263080123050034,0.2742372094213907
141,7.1,10043.0,0.5391174319014208,0.051865309574846946
143,5.4,500.0,0.24193788422233564,0.051865309574846946
144,8.3,841813.0,0.9275431366302603,0.5920302042685478
146,6.6,9819.0,0.9203858291715431,0.8144021041150916
148,7.8,690542.0,0.549545560076433,0.8144021041150916
149,8.1,119945.0,0.07025890138395659,-0.17050659027169682
150,5.5,1528.0,-0.12890238487277447,0.051865309574846946
152,7.4,8826.0,0.2055595821316051,-0.6152503899647843
155,7.0,74278.0,0.623206281492458,0.8144021041150916
157,7.5,209048.0,1.5280239675723457,1.4353192855585262
159,8.1,692121.0,0.748706846333164,0.5920302042685478
161,7.7,289397.0,0.748706846333164,0.5920302042685478
162,7.7,31484.0,0.9072181406706252,0.8144021041150916
164,5.8,230498.0,0.33995614564468973,0.2742372094213907
167,6.5,930782.0,0.623206281492458,0.8144021041150916
